,"COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.1","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.2","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.3","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.4"
116,26-06-2020,26-06-2020,​ ​ ​,"3,876(+4%)",22(=)
117,27-06-2020,27-06-2020,​ ​ ​,"4,071(+5%)",22(=)
118,28-06-2020,28-06-2020,​ ​ ​,"4,189(+2.9%)",22(=)
119,29-06-2020,29-06-2020,​ ​ ​,"4,311(+2.9%)",23(+1)
120,30-06-2020,30-06-2020,​ ​ ​,"4,442(+3%)",24(+1)
121,01-07-2020,01-07-2020,​ ​ ​,"4,593(+3.4%)",25(+1)
122,02-07-2020,02-07-2020,​ ​ ​,"4,753(+3.5%)",25(=)
123,03-07-2020,03-07-2020,​ ​ ​,"4,964(+4.4%)",25(=)
124,04-07-2020,04-07-2020,​ ​ ​,"5,204(+4.8%)",25(=)
125,05-07-2020,05-07-2020,​ ​ ​,"5,429(+4.3%)",25(=)
126,06-07-2020,06-07-2020,​ ​ ​,"5,622(+3.6%)",27(+2)
127,07-07-2020,07-07-2020,​ ​ ​,"5,894(+4.8%)",27(=)
128,08-07-2020,08-07-2020,​ ​ ​,"6,195(+5.1%)",27(=)
129,09-07-2020,09-07-2020,​ ​ ​,"6,534(+5.5%)",27(=)
130,10-07-2020,10-07-2020,​ ​ ​,"6,950(+6.4%)",27(=)
131,11-07-2020,11-07-2020,​ ​ ​,"7,438(+7%)",29(+2)
132,12-07-2020,12-07-2020,​ ​ ​,"7,873(+5.8%)",31(+2)
133,13-07-2020,13-07-2020,​ ​ ​,"8,322(+5.7%)",33(+2)
134,14-07-2020,14-07-2020,​ ​ ​,"8,930(+7.3%)",34(+1)
135,15-07-2020,15-07-2020,​ ​ ​,"9,553(+7%)",35(+1)
136,16-07-2020,16-07-2020,​ ​ ​,"10,275(+7.6%)",37(+2)
137,17-07-2020,17-07-2020,​ ​ ​,"11,066(+7.7%)",38(+1)
138,18-07-2020,18-07-2020,​ ​ ​,"11,659(+5.4%)",40(+2)
139,19-07-2020,19-07-2020,​ ​ ​,"12,480(+7%)",42(+2)
140,20-07-2020,20-07-2020,​ ​ ​,"13,274(+6.4%)",43(+1)
141,21-07-2020,21-07-2020,​ ​ ​,"13,994(+5.4%)",44(+1)
142,22-07-2020,22-07-2020,​ ​ ​,"15,032(+7.4%)",45(+1)
143,23-07-2020,23-07-2020,​ ​ ​,"16,110(+7.2%)",50(+5)
144,24-07-2020,24-07-2020,​ ​ ​,"16,995(+5.5%)",54(+4)
145,25-07-2020,25-07-2020,​ ​ ​,"18,098(+6.5%)",59(+5)
146,26-07-2020,26-07-2020,​ ​ ​,"19,025(+5.1%)",61(+2)
147,27-07-2020,27-07-2020,​ ​ ​,"19,727(+3.7%)",63(+2)
148,28-07-2020,28-07-2020,​ ​ ​,"20,894(+5.9%)",67(+4)
149,29-07-2020,29-07-2020,​ ​ ​,"21,797(+4.3%)",68(+1)
150,30-07-2020,30-07-2020,​ ​ ​,"22,303(+2.3%)",70(+2)
151,31-07-2020,31-07-2020,​ ​ ​,"23,613(+5.9%)",73(+3)
152,01-08-2020,01-08-2020,​ ​ ​,"24,742(+4.8%)",81(+8)
153,02-08-2020,02-08-2020,​ ​ ​,"25,911(+4.7%)",82(+1)
154,03-08-2020,03-08-2020,​ ​ ​,"26,873(+3.7%)",84(+2)
155,04-08-2020,04-08-2020,​ ​ ​,"27,956(+4%)",87(+3)
156,05-08-2020,05-08-2020,​ ​ ​,"29,151(+4.3%)",94(+7)
157,Cases: The number of cases confirmed in the Indian state of Kerala. Sources: Directorate of Health's website.,Cases: The number of cases confirmed in the Indian state of Kerala. Sources: Directorate of Health's website.,Cases: The number of cases confirmed in the Indian state of Kerala. Sources: Directorate of Health's website.,Cases: The number of cases confirmed in the Indian state of Kerala. Sources: Directorate of Health's website.,Cases: The number of cases confirmed in the Indian state of Kerala. Sources: Directorate of Health's website.
